uids,body,title,url,newspaper,host,n_tokens_body,n_tokens_title
ef9ec3273b4dc83952547760f11a7622,"Redes Sociales Progresistas, la organización vinculada a la ex lideresa magisterial Elba Esther Gordillo Morales y que está a la espera de que el Instituto Nacional Electoral (INE) le otorgue o le niegue su registro como partido político, no se considera un partido de maestros ni de una familia, asegura su dirigente Fernando González Sánchez.","
Redes Sociales Progresistas no es un partido de maestros ni de familia: Fernando González
",https://www.elsoldemexico.com.mx/mexico/politica/redes-sociales-progresistas-no-es-un-partido-de-maestros-ni-de-familia-fernando-gonzalez-elba-esther-gordillo-ine-5715110.html,elsol,www.elsoldemexico.com.mx,31,8
e1b473241a252e1603d4742f95bf204d,Por: Carolina de Benito,"
Fiestas patrias en tiempos de Covid
",https://www.elsoldemexico.com.mx/analisis/fiestas-patrias-en-tiempos-de-covid-5714248.html,elsol,www.elsoldemexico.com.mx,2,4
f31cd1abd3fde1a10f01cdd529d6e5f7,"Proceso: Al aprobarse el formato de recolección de firmas para la Consulta Popular sobre el enjuiciamiento a ex presidentes por actos de corrupción que entrará en vigor al momento de su aprobación Zedillo, Salinas, Fox, Calderón y Peña quedarían en la mira del Congreso y de los mexicanos para que, de resultar culpables, se les aplique extinción de dominio en sus bienes no comprobados.","
Así lo dice La Mont | ¿Expresidentes a juicio?
",https://www.elsoldemexico.com.mx/analisis/asi-lo-dice-la-mont-expresidentes-a-juicio-5714255.html,elsol,www.elsoldemexico.com.mx,32,4
811047fabd2ef3bbad623239172c818a,"","
Bajo observación | La pandemia no amaina en cuatro estados
",https://www.elsoldemexico.com.mx/mexico/sociedad/bajo-observacion-la-pandemia-no-amaina-en-cuatro-estados-coronavirus-covid-19-5713656.html,elsol,www.elsoldemexico.com.mx,0,5
022418d8e5402d303a80ec05f6378309,Por una #SociedadHorizontal,"
Empezar a construir lo que sigue
",https://www.elsoldemexico.com.mx/analisis/empezar-a-construir-lo-que-sigue-5714244.html,elsol,www.elsoldemexico.com.mx,1,3
4182093771b64a59acae44d565c1f9d4," Con 6 mil 196 nuevos contagios en las últimas 24 horas, el número de casos positivos llega a 623 mil 90 ","
Coronavirus llega a México y así se enfrenta la emergencia
",https://www.elsoldemexico.com.mx/mexico/coronavirus-llega-a-mexico-y-asi-se-enfrenta-la-emergencia-5093435.html,elsol,www.elsoldemexico.com.mx,10,6
bcc26cacff356bcd76587ebd754d668d,"La jefa de gobierno Claudia Sheinbaum Pardo presentó el plan de Reactivación Económica para el Bienestar 2020-2021, mismo que está basado en 10 ejes centrales, con el objetivo de generar 300 mil empleos, tras los daños que dejó la pandemia por Covid-19 en la Ciudad de México.","
Reactivación Económica en CDMX contempla creación de 300 mil empleos: Sheinbaum
",https://www.elsoldemexico.com.mx/metropoli/cdmx/plan-reactivacion-economica-contempla-creacion-de-300-mil-empleos-claudia-sheinbaum-segundo-informe-covid-coronavirus-5705390.html,elsol,www.elsoldemexico.com.mx,24,8
505d4a7be2cd412c5ea133fa4033e4ba,"El Indicador de Confianza del Consumidor (ICC) registró en agosto un alza de 0.5 puntos respecto al mes previo, con lo que ligó tres meses de crecimientos mensuales luego de tocar su nivel mínimo histórico en mayo. ","
Confianza de consumidores liga tres meses al alza 
",https://www.elsoldemexico.com.mx/finanzas/confianza-de-consumidores-liga-tres-meses-al-alza-5715350.html,elsol,www.elsoldemexico.com.mx,22,6
9181f7374911f1e65968a1b6f5b872fd,"General Motors y Honda Motor Co se han unido para fabricar una gama de vehículos en América del Norte, profundizando sus lazos mientras los fabricantes de automóviles se ven presionados a compartir tecnología y costos para satisfacer la demanda por vehículos más limpios.","
GM y Honda se alían para reducir costos
",https://www.elsoldemexico.com.mx/finanzas/general-motors-y-honda-se-alian-para-reducir-costos-vehiculos-sector-automotriz-5714449.html,elsol,www.elsoldemexico.com.mx,25,5
e52d0a6f4cc91a65468d472e815d5bf6,"Las luces halógenas del Camp Nou, el lente angular 11-24 mm puesto en una de sus cámaras y un Messi eufórico que festejó con la gente la anotación de Sergi Roberto le dieron a Santiago Garcés la fotografía perfecta. Nada le faltó. La imagen se convirtió en la más viral de Lionel en su historia. No existe otro retrato más visto de la Pulga que ese. El conteo hace tres años marcó 170 millones de visualizaciones nada más en las redes sociales del Barcelona, pero el cálculo puede que nunca se detenga.","
Santiago Garcés entiende que Messi quiera irse
",https://www.elsoldemexico.com.mx/deportes/futbol/santiago-garces-entiende-que-messi-quiera-irse-5713587.html,elsol,www.elsoldemexico.com.mx,45,6
5ae96580b9945d39fc0f0b58f893796e,"Los equipos del banco que preside Javier Reyes de la Campa, y de la empresa de medios de pago que encabeza Hugo César Villanueva, trabajan intensamente en diversos estudios para la elección de nombre e identidad de lo que será el primer banco Super Fintech de México. Hay que recordar que en marzo de este año se anunció una capitalización por 450 millones de pesos por parte de los accionistas de control de Toka, con el objetivo de fortalecer la plataforma de servicios bancarios digitales de Accendo, en línea con la estrategia de negocios que desde hace años desarrollan ambas partes y que es el lazo más fuerte para esta combinación de negocios donde justamente prevalecerá la institución para aprovechar la licencia bancaria y con ello tomar ventaja de su posición y consolidarse como un banco digital que ofrezca servicios a terceros, en el segmento que se conoce como Banking as a Service, y entre sus clientes destacan empresas como Rappi, Cuenca, Billpocket y SWAP entre otras. Y prueba de su vocación es que el año pasado fue reconocida por la revista Capital Finance International como el Mejor Banco Fintech de México, y apenas la semana pasada un proyecto de inclusión y penetración de los servicios financieros en México que encabezó el propio Javier Reyes de la Campa convocada por Harvard Business School.","
Momento Corporativo | Accendo y Toka, con todo el ADN digital
",https://www.elsoldemexico.com.mx/analisis/momento-corporativo-accendo-y-toka-con-todo-el-adn-digital-5714247.html,elsol,www.elsoldemexico.com.mx,112,6
1f17fa22f7c1ade62eb87ce6f4cfd558,"El presidente del FC Barcelona, Josep Maria Bartomeu, se reunió este miércoles con Jorge Messi, padre y representante del delantero Lionel Messi, para comunicarle que el club no tiene ninguna intención de negociar la salida del astro argentino este verano. ","
""No negociaremos su salida"", presidente del Barcelona tras reunión con el padre de Messi
",https://www.elsoldemexico.com.mx/deportes/futbol/no-negociaremos-su-salida-presidente-del-barcelona-tras-reunion-con-el-padre-de-messi-5706440.html,elsol,www.elsoldemexico.com.mx,24,8
9e4b5ec9fea56f379f5a9903ca9bd166,"Desde el año pasado he venido comentando que vivimos un nuevo desorden mundial en medio de una Segunda Guerra Fría. Sin embargo, a partir de la pandemia, el mundo se enfrenta a una nueva etapa. Me refiero a una Segunda Guerra Fría 2.0 (SGF-2) donde la intensificación, la subida de tono y de volumen en la confrontación entre China y Estados Unidos (EU) la ha venido caracterizando.","
La diplomacia de las vacunas
",https://www.elsoldemexico.com.mx/analisis/la-diplomacia-de-las-vacunas-5714253.html,elsol,www.elsoldemexico.com.mx,33,2
